author_id	Type	Lang	Stance
8508262	Private individuals	fr	For
3297659759	Advocacy actors	es	For
1351436889316683778	Journalistic actors	en	For
259352661	Advocacy actors	en	For
17158610	Advocacy actors	en	For
23033425	Advocacy actors	en	Unclear
955903212	Advocacy actors	en	For
2482232082	Political actors	es	Unclear
854703259776409600	Advocacy actors	en	For
832970418	Advocacy actors	en	For
915990619603869696	Advocacy actors	en	For
771238809912520704	Advocacy actors	de	For
3119820711	Advocacy actors	en	For
1497787496	Advocacy actors	en	For
1447525740421976071	Advocacy actors	en	For
37271053	Advocacy actors	en	Against
1453753755321708547	Private individuals	N/A	Unclear
1517801801864593409	Unclear	ar	Unclear
401371394	Political actors	es	Unclear
1031506566355341312	Private individuals	pl	Against
2823973398	Private individuals	en	Unclear
77254498	Private individuals	en	For
2898075617	Advocacy actors	it	Unclear
972177106699472896	Private individuals	en	Unclear
1123591446160973825	Scientific actors	es	For
478556898	Private individuals	es	Unclear
2704725908	Advocacy actors	pt	For
4696381484	Journalistic actors	fr	For
2374469136	Private individuals	fr	Unclear
1198920176072298496	Private individuals	en	Unclear
2803368067	Unclear	ja	Unclear
1369576148540157954	Unclear	N/A	Unclear
49155241	Private individuals	en	For
819312344543166465	Business actors	en	For
3971883682	Advocacy actors	en	For
1423477933402849282	Advocacy actors	en	For
2649991	Journalistic actors	fr	Unclear
910160900497297408	Advocacy actors	en	For
14266598	Advocacy actors	en	For
2518143973	Advocacy actors	en	For
569880272	Advocacy actors	es	For
1161326804759531520	Advocacy actors	en	For
1426970262	Private individuals	ne	Unclear
4502695341	Political actors	de	Unclear
752785900078235648	Advocacy actors	en	For
256572677	Business actors	de	Unclear
1593463831	Unclear	de	Unclear
718159641721630721	Business actors	fr	For
3026289274	Private individuals	fr	For
173972286	Business actors	es	For
881933605	Advocacy actors	es	Unclear
3232924232	Political actors	en	Unclear
3373831665	Unclear	N/A	Unclear
108648075	Advocacy actors	en	For
2749145822	Advocacy actors	en	For
156322365	Advocacy actors	en	For
250849122	Advocacy actors	en	For
44136279	Advocacy actors	fr	For
4264616105	Unclear	N/A	Unclear
1270435562	Journalistic actors	fr	Unclear
127296681	Private individuals	en	For
927076961503076352	Political actors	en	Unclear
274652076	Business actors	en	For
172161666	Business actors	en	For
2218044840	Advocacy actors	en	For
18173885	Political actors	fr	For
85705081	Advocacy actors	es	For
358393963	Private individuals	en	For
881504516260196352	Advocacy actors	en	For
281585895	Political actors	es	Unclear
165859690	Business actors	es	Unclear
205452278	Business actors	es	Unclear
991732872003366912	Advocacy actors	en	For
783726610621075456	Political actors	fr	Unclear
2784989480	Journalistic actors	en	Unclear
1440363351087804425	Political actors	en	Unclear
9.27816E+17	Advocacy actors	N/A	Unclear
96735431	Business actors	en	Unclear
292403049	Political actors	en	For
140897183	Political actors	fr	Unclear
338985020	Journalistic actors	fr	Unclear
851108442	Journalistic actors	es	Unclear
807024728	Journalistic actors	fr	Unclear
1001098842031435777	Political actors	es	For
987388022	Advocacy actors	es	Unclear
1165981904	Private individuals	en	For
1472895285835804676	Scientific actors	en	For
288381237	Advocacy actors	es	For
90403900	Private individuals	en	For
2778865153	Political actors	es	For
54235025	Journalistic actors	pt	Unclear
143531181	Unclear	ar	Unclear
725609319132180480	Private individuals	en	Unclear
946507549	Unclear	fr	Unclear
951952759	Business actors	de	Unclear
1120675119171612672	Private individuals	en	For
334665191	Advocacy actors	en	For
250671924	Political actors	en	Unclear
4227280090	Unclear	N/A	Unclear
255696861	Advocacy actors	fr	For
2766254733	Political actors	sv	For
